,School Name,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,AvgScrTotal,NumGE21,PctGE21,Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),AggregateLevel,County Name,District Name,Dropout (Count),Dropout (Rate),"Enrollment 
(Ages 5-17)","Enrollment 
(K-12)","FRPM Count 
(Ages 5-17)","FRPM Count 
(K-12)","Free Meal 
Count 
(Ages 5-17)","Free Meal 
Count 
(K-12)",GED Completer (Count),GED Completer (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Met UC/CSU Grad Req's (Rate),PctGE21,"Percent (%) 
Eligible FRPM 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(K-12)","Percent (%) 
Eligible Free 
(Ages 5-17)","Percent (%) 
Eligible Free 
(K-12)",Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate)
133568,Lincoln (Abraham) High,San Francisco Unified,San Francisco,511,120,21.0,23.0,23.0,22.0,22.25,73.0,60.83,0.0,0.0,,,,11.0,4.5,1986,2067,977,1031,795,848,0.0,0.0,0.0,0.0,56.2,60.83,0.491943605,0.49879051799999996,0.400302115,0.41025641,219.0,89.8
133640,Lowell High,San Francisco Unified,San Francisco,697,239,28.0,29.0,28.0,27.0,28.0,226.0,94.56,0.0,0.0,,,,0.0,0.0,2688,2731,942,963,709,728,1.0,0.3,0.0,0.0,89.9,94.56,0.350446429,0.35261808899999997,0.263764881,0.266569022,375.0,99.5
133708,Mission High,San Francisco Unified,San Francisco,302,114,17.0,17.0,18.0,18.0,17.5,20.0,17.54,0.0,0.0,,,,8.0,6.3,963,1117,558,662,530,628,0.0,0.0,0.0,0.0,55.2,17.54,0.579439252,0.592658908,0.5503634479999999,0.562220233,105.0,83.3
133780,O'Connell (John) High,San Francisco Unified,San Francisco,118,48,16.0,17.0,17.0,17.0,16.75,10.0,20.83,0.0,0.0,,,,1.0,2.0,445,475,297,315,273,290,0.0,0.0,0.0,0.0,27.7,20.83,0.66741573,0.663157895,0.613483146,0.6105263160000001,47.0,95.9
133844,Washington (George) High,San Francisco Unified,San Francisco,525,157,21.0,21.0,22.0,21.0,21.25,100.0,63.69,0.0,0.0,,,,13.0,5.5,1932,2002,1048,1088,897,937,0.0,0.0,0.0,0.0,72.0,63.69,0.542443064,0.543456543,0.46428571399999996,0.46803196799999996,211.0,89.4
133916,Escalon High,Escalon Unified,San Joaquin,190,24,20.0,22.0,22.0,21.0,21.25,16.0,66.67,0.0,0.0,,,,0.0,0.0,792,805,351,360,329,335,0.0,0.0,21.0,22.1,17.9,66.67,0.44318181799999995,0.447204969,0.41540404,0.41614906799999996,95.0,99.0
133980,Linden High,Linden Unified,San Joaquin,139,38,22.0,23.0,21.0,21.0,21.75,22.0,57.89,0.0,0.0,,,,0.0,0.0,614,639,356,374,299,317,0.0,0.0,10.0,15.2,43.9,57.89,0.57980456,0.585289515,0.486970684,0.496087637,66.0,100.0
134036,Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,72,76,20.0,20.0,21.0,20.0,20.25,33.0,43.42,0.0,0.0,,,,0.0,0.0,416,418,202,203,165,165,0.0,0.0,20.0,54.1,100.0,43.42,0.485576923,0.485645933,0.396634615,0.39473684200000003,37.0,100.0
134092,Ronald E. McNair High,Lodi Unified,San Joaquin,409,72,20.0,21.0,21.0,20.0,20.5,33.0,45.83,0.0,0.0,,,,18.0,9.3,1698,1740,1327,1363,1191,1226,0.0,0.0,49.0,28.8,37.6,45.83,0.7815076559999999,0.783333333,0.701413428,0.704597701,170.0,88.1
134164,Bear Creek High,Lodi Unified,San Joaquin,459,92,22.0,23.0,23.0,22.0,22.5,53.0,57.61,0.0,0.0,,,,12.0,5.1,2123,2161,1257,1279,1051,1069,0.0,0.0,67.0,30.7,43.1,57.61,0.59208667,0.5918556220000001,0.495054169,0.49467839,218.0,92.8
134232,Tokay High,Lodi Unified,San Joaquin,487,106,20.0,22.0,22.0,21.0,21.25,57.0,53.77,0.0,0.0,,,,8.0,3.8,2014,2076,1304,1344,1177,1217,0.0,0.0,54.0,27.3,28.3,53.77,0.647467726,0.647398844,0.584409136,0.586223507,198.0,93.4
134300,Lodi High,Lodi Unified,San Joaquin,463,129,23.0,23.0,24.0,23.0,23.25,94.0,72.87,0.0,0.0,,,,16.0,7.2,2116,2180,1088,1122,993,1022,0.0,0.0,59.0,29.2,33.7,72.87,0.514177694,0.514678899,0.469281664,0.468807339,202.0,91.0
134368,Weston Ranch High,Manteca Unified,San Joaquin,283,25,21.0,21.0,21.0,20.0,20.75,15.0,60.0,0.0,0.0,,,,1.0,0.7,1163,1204,834,865,688,717,0.0,0.0,30.0,22.2,0.0,60.0,0.71711092,0.718438538,0.591573517,0.59551495,135.0,97.1
134432,Lathrop High,Manteca Unified,San Joaquin,298,30,22.0,23.0,22.0,21.0,22.0,18.0,60.0,0.0,0.0,,,,1.0,0.7,1292,1330,731,753,577,595,0.0,0.0,41.0,27.5,47.7,60.0,0.565789474,0.566165414,0.446594427,0.447368421,149.0,97.4
134548,East Union High,Manteca Unified,San Joaquin,384,50,20.0,21.0,21.0,21.0,20.75,20.0,40.0,0.0,0.0,,,,7.0,3.6,1587,1639,854,885,705,730,0.0,0.0,29.0,15.7,38.9,40.0,0.538122243,0.539963392,0.444234405,0.44539353299999995,185.0,95.9
134616,Manteca High,Manteca Unified,San Joaquin,352,32,20.0,21.0,21.0,21.0,20.75,17.0,53.13,0.0,0.0,,,,5.0,2.7,1515,1616,836,913,694,763,0.0,0.0,47.0,26.0,26.5,53.13,0.551815182,0.564975248,0.458085809,0.472153465,181.0,96.3
134680,Delta Charter,New Jerusalem Elementary,San Joaquin,77,6,,,,,,,,0.0,0.0,,,,3.0,11.1,100,112,36,43,25,31,0.0,0.0,0.0,0.0,16.7,,0.36,0.383928571,0.25,0.27678571399999996,24.0,88.9
134864,Ripon High,Ripon Unified,San Joaquin,205,64,22.0,23.0,21.0,21.0,21.75,42.0,65.63,0.0,0.0,,,,3.0,3.0,894,923,309,319,254,262,0.0,0.0,29.0,29.6,55.1,65.63,0.345637584,0.34561213399999996,0.284116331,0.28385698800000003,98.0,97.0
134928,Cesar Chavez High,Stockton Unified,San Joaquin,505,24,17.0,19.0,18.0,19.0,18.25,4.0,16.67,0.0,0.0,,,,15.0,6.2,2063,2116,1431,1465,1349,1383,0.0,0.0,44.0,20.1,44.3,16.67,0.6936500240000001,0.692344045,0.6539020839999999,0.6535916820000001,219.0,90.1
134996,Edward C. Merlo Institute of Environmental Studies,Stockton Unified,San Joaquin,49,3,,,,,,,,0.0,0.0,,,,2.0,8.0,194,199,175,180,169,174,0.0,0.0,0.0,0.0,26.1,,0.902061856,0.9045226129999999,0.8711340209999999,0.874371859,23.0,92.0
135044,Stockton Unified Early College Academy,Stockton Unified,San Joaquin,94,79,22.0,23.0,23.0,21.0,22.25,56.0,70.89,0.0,0.0,,,,0.0,0.0,425,428,270,273,242,245,0.0,0.0,30.0,50.8,81.4,70.89,0.635294118,0.637850467,0.569411765,0.5724299070000001,59.0,100.0
135168,Health Careers Academy,Stockton Unified,San Joaquin,79,44,17.0,19.0,18.0,19.0,18.25,9.0,20.45,0.0,0.0,,,,1.0,1.7,480,487,337,344,325,332,0.0,0.0,19.0,32.8,27.6,20.45,0.7020833329999999,0.706365503,0.677083333,0.6817248459999999,58.0,98.3
135224,Pacific Law Academy,Stockton Unified,San Joaquin,41,15,19.0,20.0,19.0,20.0,19.5,4.0,26.67,0.0,0.0,,,,0.0,0.0,190,195,121,125,116,120,0.0,0.0,9.0,29.0,54.8,26.67,0.636842105,0.641025641,0.6105263160000001,0.615384615,31.0,100.0
135268,Weber Institute,Stockton Unified,San Joaquin,90,6,,,,,,,,0.0,0.0,,,,1.0,1.9,400,413,320,330,294,302,1.0,1.9,10.0,20.0,58.0,,0.8,0.799031477,0.735,0.7312348670000001,50.0,96.2
135320,Stagg Senior High,Stockton Unified,San Joaquin,360,32,18.0,20.0,20.0,19.0,19.25,11.0,34.38,0.0,0.0,,,,20.0,12.0,1672,1714,1261,1290,1200,1229,1.0,0.6,11.0,8.1,34.8,34.38,0.754186603,0.7526254379999999,0.7177033490000001,0.717036173,135.0,80.8
135388,Millennium Charter,Tracy Joint Unified,San Joaquin,120,16,23.0,24.0,22.0,20.0,22.25,9.0,56.25,0.0,0.0,,,,0.0,0.0,529,535,129,130,121,122,0.0,0.0,0.0,0.0,60.3,56.25,0.243856333,0.24299065399999997,0.22873345899999997,0.228037383,58.0,100.0
135444,John C. Kimball High,Tracy Joint Unified,San Joaquin,340,64,21.0,22.0,21.0,21.0,21.25,32.0,50.0,0.0,0.0,,,,7.0,3.8,1444,1476,514,532,405,422,0.0,0.0,0.0,0.0,40.1,50.0,0.35595567899999997,0.36043360399999996,0.28047091399999996,0.285907859,172.0,94.5
135512,Merrill F. West High,Tracy Joint Unified,San Joaquin,523,72,18.0,19.0,19.0,18.0,18.5,21.0,29.17,0.0,0.0,,,,13.0,5.4,2030,2121,1139,1184,963,1003,0.0,0.0,46.0,20.8,37.6,29.17,0.5610837439999999,0.558227251,0.474384236,0.472890146,221.0,91.3
135580,Tracy High,Tracy Joint Unified,San Joaquin,531,134,24.0,24.0,23.0,24.0,23.75,94.0,70.15,0.0,0.0,,,,14.0,4.9,2061,2100,782,808,657,681,0.0,0.0,0.0,0.0,55.6,70.15,0.37942746200000005,0.384761905,0.318777293,0.324285714,270.0,94.7
135648,Mountain House High,Lammersville Joint Unified,San Joaquin,261,24,25.0,25.0,24.0,24.0,24.5,18.0,75.0,0.0,0.0,,,,4.0,2.8,1188,1208,262,265,229,230,0.0,0.0,50.0,36.0,55.4,75.0,0.22053872100000002,0.21937086100000003,0.19276094300000002,0.19039735100000002,139.0,96.5
135716,Atascadero High,Atascadero Unified,San Luis Obispo,284,56,25.0,26.0,24.0,23.0,24.5,41.0,73.21,0.0,0.0,,,,2.0,1.6,1292,1328,430,445,376,388,0.0,0.0,43.0,34.1,53.2,73.21,0.332817337,0.335090361,0.291021672,0.292168675,126.0,97.7
135776,Central Coast New Tech High,Lucia Mar Unified,San Luis Obispo,76,20,25.0,27.0,23.0,26.0,25.25,17.0,85.0,0.0,0.0,,,,0.0,0.0,304,313,101,103,86,88,0.0,0.0,0.0,0.0,52.0,85.0,0.332236842,0.329073482,0.282894737,0.28115016,25.0,100.0
135828,Morro Bay High,San Luis Coastal Unified,San Luis Obispo,206,42,24.0,25.0,23.0,23.0,23.75,32.0,76.19,0.0,0.0,,,,1.0,1.1,805,821,314,318,264,268,0.0,0.0,26.0,28.9,72.2,76.19,0.390062112,0.38733252100000004,0.327950311,0.326431181,90.0,96.8
135888,San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,344,150,26.0,26.0,25.0,25.0,25.5,127.0,84.67,0.0,0.0,,,,1.0,0.6,1492,1526,432,441,396,405,0.0,0.0,60.0,35.3,70.0,84.67,0.289544236,0.28899082600000003,0.26541555,0.265399738,170.0,97.7
135956,Shandon High,Shandon Joint Unified,San Luis Obispo,19,1,,,,,,,,,,,,,,,84,87,66,68,56,58,,,,,,,0.7857142859999999,0.781609195,0.666666667,0.666666667,,
136040,Templeton High,Templeton Unified,San Luis Obispo,196,72,26.0,26.0,24.0,24.0,25.0,63.0,87.5,0.0,0.0,,,,0.0,0.0,718,741,98,102,85,89,0.0,0.0,49.0,51.6,73.7,87.5,0.136490251,0.13765182199999998,0.118384401,0.120107962,95.0,97.9
136104,Paso Robles High,Paso Robles Joint Unified,San Luis Obispo,468,81,23.0,24.0,22.0,22.0,22.75,55.0,67.9,0.0,0.0,,,,8.0,3.6,2081,2143,867,898,797,828,0.0,0.0,71.0,33.6,49.8,67.9,0.41662662200000006,0.419038731,0.382988948,0.38637424200000003,211.0,94.2
136172,Coast Union High,Coast Unified,San Luis Obispo,54,12,,,,,,,,0.0,0.0,,,,0.0,0.0,187,191,118,120,103,105,0.0,0.0,12.0,66.7,77.8,,0.6310160429999999,0.6282722510000001,0.550802139,0.54973822,18.0,94.7
136216,Half Moon Bay High,Cabrillo Unified,San Mateo,252,90,25.0,26.0,24.0,24.0,24.75,73.0,81.11,0.0,0.0,,,,1.0,0.9,951,995,324,345,283,301,0.0,0.0,66.0,57.9,60.5,81.11,0.340694006,0.346733668,0.29758149300000003,0.302512563,114.0,97.4
136276,Summit Public School: Shasta,Jefferson Union High,San Mateo,106,55,24.0,24.0,23.0,24.0,23.75,36.0,65.45,0.0,0.0,,,,0.0,0.0,443,452,102,108,70,75,0.0,0.0,0.0,0.0,100.0,65.45,0.23024830699999999,0.238938053,0.158013544,0.165929204,38.0,100.0
136328,Jefferson High,Jefferson Union High,San Mateo,269,33,20.0,21.0,20.0,21.0,20.5,17.0,51.52,0.0,0.0,,,,10.0,7.2,1098,1144,540,570,426,448,0.0,0.0,33.0,26.2,38.9,51.52,0.491803279,0.498251748,0.387978142,0.391608392,126.0,90.6
136388,Oceana High,Jefferson Union High,San Mateo,157,20,25.0,25.0,24.0,23.0,24.25,16.0,80.0,0.0,0.0,,,,1.0,1.2,602,619,181,190,150,156,0.0,0.0,28.0,35.0,83.8,80.0,0.30066445199999997,0.306946688,0.249169435,0.252019386,80.0,95.2
136440,Terra Nova High,Jefferson Union High,San Mateo,241,35,25.0,26.0,24.0,25.0,25.0,29.0,82.86,0.0,0.0,,,,2.0,1.9,901,914,196,201,172,177,0.0,0.0,25.0,23.8,30.5,82.86,0.21753607100000003,0.219912473,0.190899001,0.193654267,105.0,98.1
136504,Westmoor High,Jefferson Union High,San Mateo,426,37,27.0,26.0,26.0,25.0,26.0,32.0,86.49,0.0,0.0,,,,10.0,4.8,1537,1579,613,633,515,532,0.0,0.0,66.0,34.2,53.4,86.49,0.398828887,0.40088663700000005,0.335068315,0.336922103,193.0,92.3
136596,Design Tech High,San Mateo Union High,San Mateo,128,49,26.0,26.0,24.0,24.0,25.0,40.0,81.63,0.0,0.0,,,,1.0,1.9,544,552,46,47,42,43,0.0,0.0,33.0,73.3,100.0,81.63,0.084558824,0.08514492800000001,0.077205882,0.077898551,45.0,86.5
136660,Aragon High,San Mateo Union High,San Mateo,376,116,28.0,28.0,28.0,28.0,28.0,104.0,89.66,0.0,0.0,,,,1.0,0.6,1619,1639,357,359,314,316,0.0,0.0,104.0,60.1,82.7,89.66,0.220506485,0.219035998,0.19394688100000002,0.19280048800000002,173.0,96.1
136728,Burlingame High,San Mateo Union High,San Mateo,383,143,28.0,27.0,27.0,26.0,27.0,129.0,90.21,0.0,0.0,,,,4.0,2.4,1403,1475,158,176,143,159,0.0,0.0,86.0,54.4,91.8,90.21,0.112615823,0.11932203400000001,0.101924448,0.10779661,158.0,95.8
136796,Capuchino High,San Mateo Union High,San Mateo,300,51,23.0,23.0,24.0,23.0,23.25,35.0,68.63,0.0,0.0,,,,3.0,2.3,1190,1213,419,432,377,388,0.0,0.0,54.0,42.9,75.4,68.63,0.35210084,0.35614179700000004,0.316806723,0.319868096,126.0,96.9
136864,Hillsdale High,San Mateo Union High,San Mateo,362,77,26.0,25.0,26.0,25.0,25.5,66.0,85.71,0.0,0.0,,,,2.0,1.1,1504,1534,298,306,263,271,0.0,0.0,85.0,50.6,79.8,85.71,0.19813829800000002,0.199478488,0.174867021,0.176662321,168.0,92.8
136928,Mills High,San Mateo Union High,San Mateo,336,109,28.0,27.0,28.0,28.0,27.75,99.0,90.83,0.0,0.0,,,,1.0,0.6,1203,1220,268,272,220,223,0.0,0.0,87.0,55.8,78.8,90.83,0.222776392,0.22295082,0.18287614300000002,0.182786885,156.0,96.9
136988,San Mateo High,San Mateo Union High,San Mateo,415,83,28.0,28.0,27.0,27.0,27.5,74.0,89.16,0.0,0.0,,,,5.0,2.3,1622,1665,586,608,523,545,0.0,0.0,0.0,0.0,67.5,89.16,0.36128236700000005,0.365165165,0.32244143,0.327327327,203.0,93.5
137048,Summit Preparatory Charter High,Sequoia Union High,San Mateo,101,79,19.0,21.0,19.0,20.0,19.75,31.0,39.24,0.0,0.0,,,,1.0,2.1,410,417,211,217,174,177,0.0,0.0,0.0,0.0,97.9,39.24,0.514634146,0.520383693,0.42439024399999997,0.42446043200000005,47.0,97.9
137112,Everest Public High,Sequoia Union High,San Mateo,97,73,20.0,20.0,19.0,20.0,19.75,26.0,35.62,0.0,0.0,,,,6.0,10.2,392,400,241,247,199,205,0.0,0.0,0.0,0.0,98.0,35.62,0.614795918,0.6175,0.507653061,0.5125,50.0,84.7
137160,East Palo Alto Academy,Sequoia Union High,San Mateo,75,9,,,,,,,,0.0,0.0,,,,4.0,7.8,302,320,281,296,244,258,0.0,0.0,9.0,19.6,45.7,,0.930463576,0.925,0.80794702,0.80625,46.0,90.2
137216,Carlmont High,Sequoia Union High,San Mateo,554,188,27.0,28.0,27.0,26.0,27.0,168.0,89.36,0.0,0.0,,,,2.0,0.7,2144,2184,256,271,226,240,0.0,0.0,167.0,61.4,81.3,89.36,0.119402985,0.12408424900000001,0.105410448,0.10989011,272.0,97.8
137280,Menlo-Atherton High,Sequoia Union High,San Mateo,549,126,28.0,28.0,27.0,26.0,27.25,101.0,80.16,0.0,0.0,,,,11.0,4.1,2377,2450,958,995,898,934,0.0,0.0,102.0,40.8,64.8,80.16,0.40302902799999996,0.406122449,0.37778712700000006,0.38122449,250.0,92.6
137352,Sequoia High,Sequoia Union High,San Mateo,496,179,23.0,24.0,23.0,23.0,23.25,112.0,62.57,,,,,,,,101,101,97,97,92,92,,,,,,62.57,0.96039604,0.96039604,0.910891089,0.910891089,,
137832,Woodside High,Sequoia Union High,San Mateo,406,117,24.0,24.0,23.0,22.0,23.25,69.0,58.97,0.0,0.0,,,,7.0,3.6,1806,1848,682,702,587,604,0.0,0.0,64.0,36.2,74.6,58.97,0.377630122,0.37987013,0.325027685,0.32683982699999997,177.0,92.2
137900,South San Francisco High,South San Francisco Unified,San Mateo,342,26,22.0,23.0,21.0,21.0,21.75,15.0,57.69,0.0,0.0,,,,14.0,7.7,1340,1388,610,634,512,533,0.0,0.0,0.0,0.0,51.9,57.69,0.455223881,0.456772334,0.38208955200000005,0.38400576399999997,156.0,85.2
137972,Carpinteria Senior High,Carpinteria Unified,Santa Barbara,150,47,20.0,20.0,21.0,21.0,20.5,25.0,53.19,0.0,0.0,,,,0.0,0.0,590,612,334,342,288,293,0.0,0.0,17.0,23.0,45.9,53.19,0.566101695,0.558823529,0.488135593,0.47875817,74.0,98.7
138028,Lompoc High,Lompoc Unified,Santa Barbara,294,18,21.0,24.0,22.0,22.0,22.25,9.0,50.0,4.0,2.6,,,,2.0,1.3,1454,1502,1097,1133,949,982,0.0,0.0,26.0,18.1,32.6,50.0,0.7544704259999999,0.7543275629999999,0.652682256,0.65379494,144.0,94.7
138096,Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,633,102,19.0,20.0,21.0,20.0,20.0,50.0,49.02,0.0,0.0,,,,8.0,2.7,2605,2713,1913,1993,1620,1690,0.0,0.0,61.0,21.2,28.1,49.02,0.734357006,0.7346111320000001,0.621880998,0.6229266489999999,288.0,96.6
138160,Ernest Righetti High,Santa Maria Joint Union High,Santa Barbara,484,67,21.0,23.0,22.0,22.0,22.0,37.0,55.22,0.0,0.0,,,,2.0,0.9,2132,2226,1215,1262,1006,1042,0.0,0.0,53.0,25.4,36.4,55.22,0.56988743,0.566936208,0.471857411,0.468104223,209.0,97.2
138232,Santa Maria High,Santa Maria Joint Union High,Santa Barbara,616,136,17.0,19.0,20.0,19.0,18.75,42.0,30.88,0.0,0.0,,,,14.0,4.7,2454,2618,2125,2257,1825,1934,0.0,0.0,63.0,23.2,39.5,30.88,0.86593317,0.86210848,0.7436837820000001,0.7387318559999999,271.0,90.0
138296,Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,234,45,25.0,24.0,23.0,23.0,23.75,34.0,75.56,0.0,0.0,,,,4.0,3.8,888,933,247,263,211,221,0.0,0.0,30.0,30.6,58.2,75.56,0.278153153,0.281886388,0.237612613,0.23687031100000003,98.0,93.3
138356,Alta Vista Alternative High,Santa Barbara Unified,Santa Barbara,79,3,,,,,,,,0.0,0.0,,,,3.0,7.5,115,145,43,55,42,53,1.0,2.5,5.0,16.7,10.0,,0.37391304299999994,0.379310345,0.365217391,0.365517241,30.0,75.0
138420,Dos Pueblos Senior High,Santa Barbara Unified,Santa Barbara,576,195,25.0,25.0,25.0,24.0,24.75,151.0,77.44,0.0,0.0,,,,0.0,0.0,1995,2057,702,722,576,593,0.0,0.0,134.0,55.6,36.1,77.44,0.351879699,0.350996597,0.288721805,0.288283909,241.0,96.8
138492,San Marcos Senior High,Santa Barbara Unified,Santa Barbara,586,116,26.0,26.0,24.0,25.0,25.25,94.0,81.03,0.0,0.0,,,,2.0,0.7,2025,2100,958,990,825,855,0.0,0.0,126.0,48.5,41.9,81.03,0.47308642,0.471428571,0.40740740700000005,0.407142857,260.0,94.5
138552,Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,563,147,24.0,25.0,23.0,23.0,23.75,105.0,71.43,0.0,0.0,,,,11.0,4.0,2080,2148,995,1015,880,900,0.0,0.0,88.0,34.8,16.2,71.43,0.478365385,0.472532588,0.423076923,0.41899441299999995,253.0,92.7
138620,Summit Public School: Tahoma,Santa Clara County Office of Education,Santa Clara,59,31,22.0,23.0,20.0,21.0,21.5,17.0,54.84,0.0,0.0,,,,2.0,5.3,329,342,102,108,81,86,0.0,0.0,0.0,0.0,93.8,54.84,0.310030395,0.31578947399999996,0.24620060800000002,0.251461988,32.0,84.2
138744,Leigh High,Campbell Union High,Santa Clara,421,155,27.0,27.0,26.0,26.0,26.5,138.0,89.03,1.0,0.5,,,,5.0,2.6,1722,1755,157,158,148,149,0.0,0.0,105.0,57.1,83.7,89.03,0.091173055,0.09002849,0.085946574,0.084900285,184.0,95.3
138812,Branham High,Campbell Union High,Santa Clara,375,72,27.0,27.0,26.0,26.0,26.5,61.0,84.72,0.0,0.0,,,,4.0,2.2,1688,1716,299,308,274,281,0.0,0.0,85.0,49.1,78.0,84.72,0.177132701,0.179487179,0.162322275,0.163752914,173.0,93.5
138872,Del Mar High,Campbell Union High,Santa Clara,272,73,20.0,21.0,20.0,21.0,20.5,33.0,45.21,0.0,0.0,,,,0.0,0.0,1228,1259,579,594,501,513,0.0,0.0,0.0,0.0,0.0,45.21,0.471498371,0.47180301799999996,0.407980456,0.40746624299999995,15.0,93.8
138988,Prospect High,Campbell Union High,Santa Clara,332,88,27.0,27.0,27.0,26.0,26.75,72.0,81.82,0.0,0.0,,,,5.0,2.9,1439,1469,417,425,378,386,0.0,0.0,5.0,3.3,70.0,81.82,0.289784573,0.28931245699999997,0.26268241800000003,0.262763785,150.0,88.2
139052,Westmont High,Campbell Union High,Santa Clara,359,97,26.0,27.0,26.0,26.0,26.25,82.0,84.54,0.0,0.0,,,,5.0,2.9,1590,1615,412,419,367,372,0.0,0.0,68.0,41.2,66.1,84.54,0.259119497,0.25944272399999996,0.23081761,0.230340557,165.0,94.3
139116,KIPP San Jose Collegiate,East Side Union High,Santa Clara,108,111,21.0,21.0,21.0,21.0,21.0,50.0,45.05,0.0,0.0,,,,0.0,0.0,476,489,335,342,249,255,0.0,0.0,0.0,0.0,100.0,45.05,0.703781513,0.6993865029999999,0.523109244,0.5214723929999999,51.0,92.7
139168,Summit Public School: Rainier,East Side Union High,Santa Clara,83,57,20.0,21.0,21.0,21.0,20.75,26.0,45.61,0.0,0.0,,,,0.0,0.0,353,367,167,177,138,144,0.0,0.0,0.0,0.0,93.5,45.61,0.47308781899999997,0.48228882799999995,0.390934844,0.39237057200000003,31.0,96.9
139220,ACE Charter High,East Side Union High,Santa Clara,63,43,16.0,16.0,17.0,16.0,16.25,4.0,9.3,0.0,0.0,,,,6.0,18.8,319,327,289,297,256,263,0.0,0.0,0.0,0.0,100.0,9.3,0.905956113,0.9082568809999999,0.8025078370000001,0.8042813459999999,24.0,75.0
139264,Luis Valdez Leadership Academy,East Side Union High,Santa Clara,95,38,17.0,17.0,17.0,17.0,17.0,6.0,15.79,0.0,0.0,,,,4.0,6.7,373,380,273,279,232,237,0.0,0.0,6.0,11.3,73.6,15.79,0.731903485,0.7342105259999999,0.621983914,0.623684211,53.0,88.3
139320,Yerba Buena High,East Side Union High,Santa Clara,459,13,,,,,,,,0.0,0.0,,,,23.0,10.2,1776,1824,1310,1344,1056,1089,0.0,0.0,58.0,30.4,44.5,,0.7376126129999999,0.736842105,0.594594595,0.597039474,191.0,84.9
139380,Santa Teresa High,East Side Union High,Santa Clara,561,103,25.0,25.0,26.0,25.0,25.25,82.0,79.61,0.0,0.0,,,,6.0,2.2,2181,2220,513,521,428,435,0.0,0.0,107.0,40.8,59.9,79.61,0.235213205,0.234684685,0.196240257,0.195945946,262.0,97.0
139448,Latino College Preparatory Academy,East Side Union High,Santa Clara,120,26,16.0,19.0,18.0,17.0,17.5,4.0,15.38,0.0,0.0,,,,5.0,7.8,412,430,309,322,253,263,0.0,0.0,17.0,30.9,76.4,15.38,0.75,0.7488372090000001,0.61407767,0.611627907,55.0,85.9
139488,Evergreen Valley High,East Side Union High,Santa Clara,722,171,29.0,28.0,28.0,27.0,28.0,153.0,89.47,0.0,0.0,,,,5.0,1.4,2900,2932,543,554,477,488,0.0,0.0,193.0,53.8,74.9,89.47,0.18724137899999999,0.188949523,0.164482759,0.166439291,359.0,97.6
139552,Andrew P. Hill High,East Side Union High,Santa Clara,462,40,24.0,24.0,25.0,24.0,24.25,29.0,72.5,0.0,0.0,,,,26.0,11.6,1877,1913,1283,1304,1092,1113,0.0,0.0,44.0,23.0,41.9,72.5,0.68353756,0.6816518559999999,0.581779435,0.581808677,191.0,85.3
139612,James Lick High,East Side Union High,Santa Clara,248,35,17.0,18.0,19.0,19.0,18.25,9.0,25.71,0.0,0.0,,,,8.0,6.9,1061,1099,888,920,694,721,0.0,0.0,24.0,22.9,50.5,25.71,0.836946277,0.8371246590000001,0.654099906,0.656050955,105.0,90.5
139676,Mt. Pleasant High,East Side Union High,Santa Clara,325,29,21.0,22.0,22.0,21.0,21.5,17.0,58.62,0.0,0.0,,,,9.0,6.3,1248,1292,878,914,724,760,0.0,0.0,22.0,17.3,48.0,58.62,0.7035256409999999,0.7074303409999999,0.580128205,0.588235294,127.0,88.2
139744,Oak Grove High,East Side Union High,Santa Clara,436,38,23.0,23.0,23.0,23.0,23.0,26.0,68.42,0.0,0.0,,,,14.0,6.9,1775,1837,968,1000,818,846,0.0,0.0,72.0,38.9,50.8,68.42,0.545352113,0.544365814,0.46084507,0.460533478,185.0,91.1
139812,William C. Overfelt High,East Side Union High,Santa Clara,372,113,17.0,18.0,18.0,18.0,17.75,25.0,22.12,0.0,0.0,,,,20.0,11.5,1443,1511,1292,1350,1046,1096,0.0,0.0,36.0,24.0,56.0,22.12,0.895356895,0.893448048,0.724878725,0.7253474520000001,150.0,86.2
139880,Piedmont Hills High,East Side Union High,Santa Clara,565,79,27.0,26.0,27.0,26.0,26.5,69.0,87.34,0.0,0.0,,,,5.0,1.9,2127,2144,616,625,497,504,0.0,0.0,134.0,53.2,66.3,87.34,0.289609779,0.291511194,0.233662435,0.23507462699999998,252.0,94.7
139944,Silver Creek High,East Side Union High,Santa Clara,650,71,25.0,24.0,27.0,23.0,24.75,56.0,78.87,0.0,0.0,,,,10.0,3.3,2505,2537,1059,1075,837,851,0.0,0.0,112.0,39.6,64.3,78.87,0.422754491,0.423728814,0.334131737,0.33543555399999997,283.0,93.7
